,Data,Open,High,Low,Close,Vol,MA_5,MA_21,SAR,BB_up,BB_mid,BB_low,OBV,macd,macdsignal,macdhist,fastk,fastd,RSI,MOM,TRIX,CCI,ADX,MA_9,MA_100,acao,resultado_valor,resultado_binario
733,2018-01-15 16:30:00,80030.0,80135.0,80025.0,80110.0,23491,80042.0,80114.28571428571,72605.0,80235.16897373898,80110.25,79985.33102626102,2568002.0,33.919577531851246,61.970557143658695,-28.05097961180745,73.80952380952381,39.98015873015857,54.531100870592375,-70.0,0.016028346582719344,-20.192307692304645,25.237994281363633,80080.60039890831,79618.45,sell,-75.0,0
748,2018-01-16 11:00:00,80200.0,80280.0,80175.0,80270.0,40877,80200.0,80169.76190476191,72605.0,80433.90709584932,80171.25,79908.59290415068,2481068.0,47.921721284481464,56.40754309690429,-8.485821812422827,67.74193548387096,40.56310130164104,56.027846098385034,85.0,0.013324584587692812,15.251050652510994,22.81623737998878,80225.536994882,79805.35,sell,-220.0,0
758,2018-01-16 13:30:00,80450.0,80550.0,80380.0,80495.0,81997,80498.0,80365.71428571429,72605.0,80644.68471432923,80374.75,80104.81528567077,2792690.0,98.56531928971526,92.37034619614477,6.194973093570496,47.91666666666667,37.5322997416019,60.00342929281297,225.0,0.013643278528441272,42.94513331712707,29.301070537436804,80460.09224345042,79925.6,sell,50.0,1
764,2018-01-16 15:00:00,80445.0,80535.0,80415.0,80520.0,40567,80466.0,80412.85714285714,72605.0,80698.13105013668,80420.5,80142.86894986332,2877127.0,73.54143573957845,85.17684469994933,-11.635408960370881,60.7843137254902,38.562091503267816,58.136253436894606,-15.0,0.013970954772601907,-12.416331994622556,25.204194267067226,80476.26482106706,79980.95,sell,35.0,1
780,2018-01-17 09:45:00,80215.0,80280.0,80185.0,80270.0,40035,80189.0,80344.76190476191,72605.0,80639.96213454973,80338.75,80037.53786545027,2931589.0,-53.312462622488965,-30.432144113131876,-22.88031850935709,80.0,57.95187793427214,48.25370026839059,-280.0,0.0088150079630811,-24.568017593457103,19.799657848997533,80229.8378707107,80097.05,sell,-200.0,0
817,2018-01-18 09:45:00,81380.0,81530.0,81380.0,81475.0,52209,81420.0,81260.95238095238,72605.0,81752.39565505294,81283.75,80815.10434494706,3568292.0,196.89651285707077,220.03629123143077,-23.13977837435999,55.4054054054054,33.42573342573325,65.20901855596553,-20.0,0.021726947047873146,37.2885870289025,42.217372187880606,81408.76408125495,80526.5,sell,-105.0,0
826,2018-01-18 12:00:00,81455.0,81610.0,81425.0,81585.0,49056,81482.0,81476.66666666667,72605.0,81681.83267980674,81485.25,81288.66732019326,3791942.0,132.30215565480466,165.03706608087057,-32.73491042606591,81.15942028985506,42.85925179314082,61.303032958450444,210.0,0.025199254780461366,46.96517412933855,29.646077955495198,81493.78271043404,80651.75,sell,5.0,1
848,2018-01-18 17:30:00,81065.0,81375.0,81065.0,81320.0,44616,81088.0,81286.66666666667,72605.0,81766.48740990904,81280.0,80793.51259009096,3639521.0,-81.33457289771468,-68.76284114533527,-12.571731752379407,89.32038834951456,75.10679611650464,53.34144254203045,-65.0,0.013929635717557787,35.742227712576394,28.842382371459568,81130.89023730553,80900.7,sell,-305.0,0
863,2018-01-19 12:00:00,81495.0,81635.0,81495.0,81605.0,53210,81554.0,81397.85714285714,72605.0,81898.67470471397,81423.5,80948.32529528603,3770506.0,74.27141071594087,67.35604151533605,6.915369200604829,79.66101694915254,44.14368833797098,57.216285025897825,-20.0,0.009642906762752368,26.587864460202372,25.45002201090056,81544.71106151426,81059.5,sell,305.0,1
873,2018-01-19 14:30:00,81360.0,81475.0,81345.0,81390.0,33707,81343.0,81488.33333333333,72605.0,81748.24144784792,81481.5,81214.75855215208,3749064.0,-13.543471076409332,7.726875595648078,-21.27034667205741,75.3623188405797,78.12911725955185,49.03157773142139,-215.0,0.007631667330776359,-15.396825396814613,19.71761374495942,81381.11244657033,81154.1,sell,-45.0,0
882,2018-01-19 16:45:00,81350.0,81550.0,81345.0,81520.0,48765,81408.0,81413.33333333333,72605.0,81592.00753409106,81409.5,81226.99246590894,3681627.0,0.6796523600496585,-1.9197441363993977,2.599396496449056,87.09677419354838,52.150537634408415,57.18655534822719,155.0,0.0052679749837025724,103.25253780816703,15.050760034176905,81416.24610877119,81266.35,sell,55.0,1
888,2018-01-22 09:00:00,81405.0,81650.0,81340.0,81585.0,37240,81598.0,81446.90476190476,72605.0,81680.83938633572,81454.25,81227.66061366428,3791872.0,44.05145803025516,28.800237478465256,15.251220551789906,53.2608695652174,37.167542602325035,55.72833891752153,150.0,0.005011795443854439,27.956572314835867,14.660493596896782,81539.97881993772,81333.35,sell,30.0,1
894,2018-01-22 10:30:00,81555.0,81735.0,81550.0,81670.0,51824,81641.0,81535.71428571429,72605.0,81774.0536413687,81539.25,81304.4463586313,3818919.0,57.30209814728005,50.65953892839033,6.642559218889716,72.34042553191489,56.93694800077761,57.259803885955144,60.0,0.005623261333020935,60.406091370554535,11.342040484928097,81612.80020777376,81394.25,sell,240.0,1
