,Data,Open,High,Low,Close,Vol,MA_5,MA_21,BB_up,BB_mid,BB_low,macd,macdsignal,macdhist,RSI,dist_bb,dist_bb_up,dist_bb_low,dist_media,dist_media_abs,dist_price_media_21,dist_price_media_5,dist_RSI_70,dist_RSI_30,tamanho_corpo,tamanho_full,media_vol_5,media_vol_3,media_vol_10,tamanho_corpo_5,tamanho_corpo_direcao,candle_direcao,candle_direcao_5,candle_direcao_3,candle_direcao_10,tamanho_pra_baixo,tamanho_abaixo,tamanho_pra_cima,tamanho_acima,proximo_candle,pos_BB_inicial,verifica_tamanho,acao,stop,tp,resultado_binario
80533,2022-11-03 13:00:00,118105.0,118240.0,118100.0,118195.0,40227,118093.0,118064.04761904762,118162.76247991904,118065.5,117968.23752008096,44.20165380877734,39.72515539343682,4.476498415340515,63.57541570643595,216.1388442645257,-21.430577867737156,-237.56942213226284,28.952380952381645,28.952380952381645,-130.95238095238165,-102.0,-6.4245842935640525,33.57541570643595,90.0,140.0,20499.0,20068.666666666668,20149.2,40.0,90.0,1,0.8,1.0,0.7,5.0,95.0,135.0,45.0,45.0,1,0.666666172839872,sell,118245.0,118095.0,0.0
80557,2022-11-03 13:24:00,117965.0,117970.0,117905.0,117925.0,12525,117984.0,118030.47619047618,118115.97431648191,118022.25,117928.52568351809,-21.410612523381133,-8.089240288001989,-13.321372235379144,39.81379689772557,208.27625884866575,201.38812942433287,-6.888129424332874,-46.47619047618355,46.47619047618355,105.47619047618355,59.0,-30.186203102274433,9.813796897725567,40.0,65.0,15684.8,17857.666666666668,15975.4,29.0,-40.0,0,0.4,0.3333333333333333,0.5,60.0,20.0,5.0,45.0,-5.0,-1,0.6666655555574074,call,117875.0,118025.0,0.0
80584,2022-11-03 13:51:00,118135.0,118250.0,118115.0,118220.0,39515,118113.0,118045.0,118160.14653955717,118042.75,117925.35346044283,30.892523354821606,13.978647068623747,16.91387628619786,67.01282430785834,260.88119901594473,-46.809400492027635,-307.69059950797237,68.0,68.0,-175.0,-107.0,-2.987175692141662,37.01282430785834,85.0,135.0,18781.4,24198.333333333332,16538.7,40.0,85.0,1,0.6,0.6666666666666666,0.7,20.0,105.0,115.0,30.0,170.0,1,0.7391297920610503,sell,118270.0,118120.0,0.0
80604,2022-11-03 14:11:00,118665.0,118715.0,118635.0,118710.0,28081,118617.0,118528.57142857143,118698.35983933654,118544.0,118389.64016066346,108.55051593070675,105.63765347043345,2.9128624602733026,67.72628799305356,343.021865192306,5.510932596152998,-337.510932596153,88.42857142856519,88.42857142856519,-181.4285714285652,-93.0,-2.2737120069464396,37.72628799305356,45.0,80.0,30872.2,33301.333333333336,25672.3,65.0,45.0,1,0.8,0.6666666666666666,0.6,30.0,75.0,50.0,5.0,-75.0,1,0.8999982000036,sell,118760.0,118610.0,1.0
80632,2022-11-03 14:39:00,118570.0,118580.0,118440.0,118490.0,31163,118536.0,118559.76190476191,118604.97275806252,118558.0,118511.02724193748,1.2833185530616902,12.905547742584172,-11.622229189522482,44.22730843914255,104.38390680559678,120.19195340279839,15.80804659720161,-23.761904761908227,23.761904761908227,69.76190476190823,46.0,-25.772691560857453,14.227308439142547,80.0,140.0,18275.8,25675.0,14121.0,31.0,-80.0,0,0.4,0.6666666666666666,0.4,130.0,50.0,10.0,90.0,-35.0,-1,0.6153841420121985,call,118440.0,118590.0,0.0
80648,2022-11-03 14:55:00,118485.0,118645.0,118475.0,118615.0,47306,118460.0,118469.04761904762,118570.60909266568,118464.75,118358.89090733432,-12.036221106376615,-25.834798915608026,13.79857780923141,63.674445358835186,235.24242814595345,-32.62878592702327,-267.8712140729767,-9.047619047618355,9.047619047618355,-145.95238095238165,-155.0,-6.325554641164814,33.674445358835186,130.0,170.0,25078.6,30530.333333333332,24267.0,58.0,130.0,1,0.6,1.0,0.6,10.0,140.0,160.0,30.0,65.0,1,0.8124994921878174,sell,118665.0,118515.0,0.0
80675,2022-11-03 15:22:00,118560.0,118675.0,118560.0,118600.0,46288,118531.0,118459.28571428571,118584.5134348446,118462.25,118339.9865651554,18.09355659892026,0.7169443805630089,17.37661221835725,60.889936753719255,271.6965218769037,-1.9017390615481418,-273.59826093845186,71.71428571428987,71.71428571428987,-140.71428571428987,-69.0,-9.110063246280745,30.889936753719255,40.0,115.0,22494.6,28923.666666666668,20267.6,38.0,40.0,1,1.0,1.0,0.6,0.0,40.0,115.0,75.0,40.0,1,0.34782578449931784,sell,118650.0,118500.0,1.0
80699,2022-11-03 15:46:00,118630.0,118710.0,118605.0,118670.0,29512,118623.0,118545.47619047618,118654.63400019931,118544.25,118433.86599980069,32.71722676305217,20.16265736635446,12.554569396697708,61.54973662063369,245.29777822067263,-3.101110889663687,-248.3988891103363,77.52380952381645,77.52380952381645,-124.52380952381645,-47.0,-8.450263379366312,31.549736620633688,40.0,105.0,28234.2,26681.333333333332,23515.8,52.0,40.0,1,0.6,0.6666666666666666,0.7,25.0,65.0,80.0,40.0,-30.0,1,0.49999937500078123,sell,118720.0,118570.0,0.0
80710,2022-11-03 15:57:00,118810.0,118940.0,118785.0,118870.0,43563,118757.0,118648.33333333333,118805.5032999637,118655.5,118505.4967000363,65.28783938536071,47.41430159232347,17.873537793037244,69.89263751763183,333.3406665860093,-47.82966670699534,-381.17033329300466,108.66666666667152,108.66666666667152,-221.66666666667152,-113.0,-0.10736248236817403,39.892637517631826,60.0,155.0,34851.8,44975.0,29007.9,43.0,60.0,1,1.0,1.0,0.7,25.0,85.0,130.0,70.0,-95.0,1,0.46153810650914884,sell,118920.0,118770.0,1.0
80736,2022-11-03 16:23:00,118800.0,118815.0,118745.0,118765.0,11413,118835.0,118856.42857142857,118938.71988459601,118859.0,118779.28011540399,21.064185839815764,40.86709697134468,-19.802911131528916,43.3900068799166,177.15529910221812,182.57764955110906,5.422350448890938,-21.428571428565192,21.428571428565192,91.42857142856519,70.0,-26.609993120083402,13.390006879916598,35.0,70.0,16059.2,19007.333333333332,14269.8,25.0,-35.0,0,0.0,0.0,0.4,55.0,20.0,15.0,50.0,-25.0,-1,0.6363624793409466,call,118715.0,118865.0,0.0
